City,Title,Price,Furnishing,Link
Kozhikode,"2 BHK Flat for Sale in Hilite Residency, Thondayad Kozhikode",₹95 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1224-Sq-ft-Multistorey-Apartment-FOR-Sale-Thondayad-in-Kozhikode&id=4d423633383838333233
Kozhikode,2 BHK Flat for Sale in Beypore Kozhikode,₹43.5 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Sale-Beypore-in-Kozhikode&id=4d423634353734363733
Kozhikode,"3 BHK Flat for Sale in Coxswain 23, Mananchira Kozhikode",₹3 Cr,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2752-Sq-ft-Multistorey-Apartment-FOR-Sale-Mananchira-in-Kozhikode&id=4d423638363835373739
Kozhikode,3 BHK Flat for Sale in Skyline Petals Kozhikode,₹90 Lac,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1116-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Kozhikode&id=4d423735373531373235
Kozhikode,3 BHK Flat for Sale in Pottammal Kozhikode,₹90 Lac,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1116-Sq-ft-Multistorey-Apartment-FOR-Sale-Pottammal-in-Kozhikode&id=4d423735373531373239
Kozhikode,"2 BHK Flat for Sale in TC One Skywalk, Palazhi Kozhikode",₹95 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1362-Sq-ft-Multistorey-Apartment-FOR-Sale-Palazhi-in-Kozhikode&id=4d423735343430373039
Kozhikode,3 BHK House for Sale in Vengeri Kozhikode,₹94.9 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1760-Sq-ft-Residential-House-FOR-Sale-Vengeri-in-Kozhikode&id=4d423638333533333531
Kozhikode,3 BHK Villa for Sale in Perumanna Kozhikode,₹39 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Villa-FOR-Sale-Perumanna-in-Kozhikode&id=4d423730373831313937
Kozhikode,4 BHK Villa for Sale in Mavoor Kozhikode,₹39 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/4-BHK-1500-Sq-ft-Villa-FOR-Sale-Mavoor-in-Kozhikode&id=4d423732313331343633
Kozhikode,4 BHK House for Sale in Koyilandy Kozhikode,₹50 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/4-BHK-2200-Sq-yrd-Residential-House-FOR-Sale-Koyilandy-in-Kozhikode&id=4d423733303639313335
Kozhikode,"3 BHK Flat for Sale in TC One Skywalk, Palazhi Kozhikode",₹1.28 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1801-Sq-ft-Multistorey-Apartment-FOR-Sale-Palazhi-in-Kozhikode&id=4d423735333632303133
Kozhikode,3 BHK Flat for Sale in Kottooli Kozhikode,₹55 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Sale-Kottooli-in-Kozhikode&id=4d423734373032303937
Kozhikode,3 BHK Flat for Sale in YMCA Road Kozhikode,₹2 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Sale-YMCA-Road-in-Kozhikode&id=4d423734373031353033
Kozhikode,2 BHK Flat for Sale in Mavoor Road Junction Kozhikode,₹60 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1250-Sq-ft-Multistorey-Apartment-FOR-Sale-Mavoor-Road-Junction-in-Kozhikode&id=4d423735333732313433
Kozhikode,4 BHK House for Sale in Nadakkave Kozhikode,₹1.75 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/4-BHK-6-Cent-Residential-House-FOR-Sale-Nadakkave-in-Kozhikode&id=4d423735323033393131
Kozhikode,2 BHK Flat for Sale in Pottammal Kozhikode,₹85 Lac,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1318-Sq-ft-Multistorey-Apartment-FOR-Sale-Pottammal-in-Kozhikode&id=4d423735333733363235
Kozhikode,4 BHK House for Sale in Kunnamangalam Kozhikode,₹57 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/4-BHK-1950-Sq-ft-Residential-House-FOR-Sale-Kunnamangalam-in-Kozhikode&id=4d423734363832323433
Kozhikode,4 BHK House for Sale in Kunnamangalam Kozhikode,₹1.44 Cr,Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-12-Cent-Residential-House-FOR-Sale-Kunnamangalam-in-Kozhikode&id=4d423735313830323131
Kozhikode,4 BHK House for Sale in Velliparamba Kozhikode,₹75 Lac,Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-2000-Sq-ft-Residential-House-FOR-Sale-Velliparamba-in-Kozhikode&id=4d423735303639393233
Kozhikode,4 BHK House for Sale in Pantheerankavu Kozhikode,₹65 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-5-Cent-Residential-House-FOR-Sale-Pantheerankavu-in-Kozhikode&id=4d423735303833383235
Kozhikode,"2 BHK Flat for Sale in Confident Willow, Feroke Kozhikode",₹52 Lac,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-985-Sq-ft-Multistorey-Apartment-FOR-Sale-Feroke-in-Kozhikode&id=4d423735373539353733
Kozhikode,3 BHK Flat for Sale in Chalapuram Kozhikode,₹96 Lac,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1550-Sq-ft-Multistorey-Apartment-FOR-Sale-Chalapuram-in-Kozhikode&id=4d423735373539373039
Kozhikode,3 BHK Flat for Sale in Nadakkave Kozhikode,₹75 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1450-Sq-ft-Multistorey-Apartment-FOR-Sale-Nadakkave-in-Kozhikode&id=4d423735373338393537
Kozhikode,3 BHK Flat for Sale in Pantheerankavu Kozhikode,₹95 Lac,Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1700-Sq-ft-Multistorey-Apartment-FOR-Sale-Pantheerankavu-in-Kozhikode&id=4d423735373338373033
Kozhikode,"2 BHK Flat for Sale in Hilite Residency, Thondayad Kozhikode",₹84 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1355-Sq-ft-Multistorey-Apartment-FOR-Sale-Thondayad-in-Kozhikode&id=4d423735363336353531
Kozhikode,"3 BHK Flat for Sale in Burj Alhind, Karaparamba Kozhikode",₹70 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1400-Sq-ft-Multistorey-Apartment-FOR-Sale-Karaparamba-in-Kozhikode&id=4d423735363933313839
Kozhikode,"3 BHK Flat for Sale in Magnum Opus, Vellayil Kozhikode",₹1.90 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Multistorey-Apartment-FOR-Sale-Vellayil-in-Kozhikode&id=4d423735363932343837
Kochi,"1 BHK Flat for Sale in Kalamassery, Kochi",₹30.5 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-435-Sq-ft-Multistorey-Apartment-FOR-Sale-Kalamassery-in-Kochi&id=4d423639383831353535
Kochi,"1 BHK Flat for Sale in Edappally, Kochi",₹42 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Sale-Edappally-in-Kochi-r3&id=4d423732343233333433
Kochi,"1 BHK Flat for Sale in Vyttila, Kochi",₹51.8 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-552-Sq-ft-Multistorey-Apartment-FOR-Sale-Vyttila-in-Kochi&id=4d423735373230383131
Kochi,"1 BHK Flat for Sale in Esperanza, Chittethukara, Kochi",₹43 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-715-Sq-ft-Multistorey-Apartment-FOR-Sale-Chittethukara-in-Kochi-r1&id=4d423734343331333637
Kochi,"1 BHK Flat for Sale in Vyttila, Kochi",₹47 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-552-Sq-ft-Multistorey-Apartment-FOR-Sale-Vyttila-in-Kochi-r1&id=4d423731333133383435
Kochi,"1 BHK Flat for Sale in Nedumbassery, Kochi",₹22 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-540-Sq-ft-Multistorey-Apartment-FOR-Sale-Nedumbassery-in-Kochi&id=4d423733383335333231
Kochi,"1 BHK Flat for Sale in Thrippunithura, Kochi",₹45 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-840-Sq-ft-Multistorey-Apartment-FOR-Sale-Thrippunithura-in-Kochi&id=4d423733363138373237
Kochi,"1 BHK Flat for Sale in Edachira, Kochi",₹35 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-686-Sq-ft-Multistorey-Apartment-FOR-Sale-Edachira-in-Kochi&id=4d423734343237323333
Kochi,"1 BHK Flat for Sale in Kakkanad, Kochi",₹48 Lac,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-590-Sq-ft-Multistorey-Apartment-FOR-Sale-Kakkanad-in-Kochi&id=4d423433323938363237
Kochi,"1 BHK Flat for Sale in Pallimukku, Kochi",₹49 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Sale-Pallimukku-in-Kochi&id=4d423532323334313135
Kochi,"1 BHK Flat for Sale in Kaloor, Kochi",₹35 Lac,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-680-Sq-ft-Multistorey-Apartment-FOR-Sale-Kaloor-in-Kochi&id=4d423530363637373738
Kochi,"1 BHK Flat for Sale in Vyttila, Kochi",₹45 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-552-Sq-ft-Multistorey-Apartment-FOR-Sale-Vyttila-in-Kochi&id=4d423733323136323035
Kochi,1 BHK House for Sale in Palluruthy Kochi,₹65 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-950-Sq-ft-Residential-House-FOR-Sale-Palluruthy-in-Kochi&id=4d423634303931353139
Kochi,1 BHK Flat for Sale in Kochi,₹24 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-470-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Kochi&id=4d423734393436363739
Kochi,1 BHK House for Sale in Kizhakkambalam Kochi,₹25 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Residential-House-FOR-Sale-Kizhakkambalam-in-Kochi&id=4d423734373037313937
Kochi,"1 BHK Flat for Sale in Kakkanad, Kochi",₹37 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-735-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Kakkanad-in-Kochi&id=4d423730393336343535
Kochi,"1 BHK Flat for Sale in Aluva, Kochi",₹40 Lac,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-586-Sq-ft-Multistorey-Apartment-FOR-Sale-Aluva-in-Kochi&id=4d423733393638393331
Kochi,"1 BHK Flat for Sale in Manjooran Rowan Park Springs, Kakkanad, Kochi",₹31 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-625-Sq-ft-Multistorey-Apartment-FOR-Sale-Kakkanad-in-Kochi&id=4d423631393630373531
Kochi,"1 BHK Flat for Sale in Nedumbassery, Kochi",₹23 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Sale-Nedumbassery-in-Kochi&id=4d423439393439323236
Kochi,"1 BHK Flat for Sale in Kent Mahal, Kakkanad, Kochi",₹29.5 Lac,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-662-Sq-ft-Multistorey-Apartment-FOR-Sale-Kakkanad-in-Kochi&id=4d423630353238313033
Kochi,"1 BHK Flat for Sale in Aluva, Kochi",₹40 Lac,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-900-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Aluva-in-Kochi&id=4d423734333438313639
Kochi,"1 BHK Flat for Sale in Blue Chip, Kakkanad, Kochi",₹41 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Kakkanad-in-Kochi&id=4d423537383438393631
Kochi,"1 BHK Flat for Sale in Galaxy Ebony Grove, Palarivattom, Kochi",₹21 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-574-Sq-ft-Multistorey-Apartment-FOR-Sale-Palarivattom-in-Kochi&id=4d423733393637393231
Kochi,"1 BHK Flat for Sale in Thrippunithura, Kochi",₹19 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Sale-Thrippunithura-in-Kochi&id=4d423139323535303631
Kochi,"1 BHK Flat for Sale in Silver Dew, Kalamasery, Kochi",₹59 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-986-Sq-ft-Multistorey-Apartment-FOR-Sale-Kalamasery-in-Kochi&id=4d423732353837353339
Kochi,"1 BHK Flat for Sale in Nedumbassery, Kochi",₹24 Lac,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-560-Sq-ft-Multistorey-Apartment-FOR-Sale-Nedumbassery-in-Kochi&id=4d423732373935383937
Kochi,"1 BHK Flat for Sale in Thiruvankulam, Kochi",Call for Price,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Multistorey-Apartment-FOR-Sale-Thiruvamkulam-in-Kochi&id=4d423538383232303531
Kochi,1 BHK House for Sale in Netoor Kochi,Call for Price,N/A,https://www.magicbricks.com/propertyDetails/1-BHK-3430-Sq-ft-Residential-House-FOR-Sale-Netoor-in-Kochi&id=4d423632313931343533
Kochi,"1 BHK Flat for Sale in Easland Enclave Apartment, Elamkulam, Kochi",Call for Price,N/A,https://www.magicbricks.com/propertyDetails/1-BHK-610-Sq-ft-Multistorey-Apartment-FOR-Sale-Elamkulam-in-Kochi&id=4d423733373433303537
Kochi,1 BHK House for Sale in Infopark Campus Kochi,Call for Price,N/A,https://www.magicbricks.com/propertyDetails/1-BHK-800-Sq-ft-Residential-House-FOR-Sale-Infopark-Campus-in-Kochi&id=4d423538393732393533
Trivandrum,"1 BHK Flat for Sale in Vkl Santhi Homes, Pothencode, Trivandrum",₹36 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-770-Sq-ft-Multistorey-Apartment-FOR-Sale-Pothencode-in-Trivandrum&id=4d423733313138343731
Trivandrum,"1 BHK Flat for Sale in SFS Cyber Gold, Kazhakkoottam, Trivandrum",₹43 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Sale-Kazhakkoottam-in-Trivandrum&id=4d423735343437393433
Trivandrum,"1 BHK Flat for Sale in Vilappil, Trivandrum",₹60 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-715-Sq-ft-Multistorey-Apartment-FOR-Sale-Vilappil-in-Trivandrum&id=4d423735363735373531
Trivandrum,"1 BHK Flat for Sale in SFS IVY, Kulathoor, Trivandrum",₹55 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-804-Sq-ft-Multistorey-Apartment-FOR-Sale-Kulathoor-in-Trivandrum&id=4d423638313935343337
Trivandrum,1 BHK House for Sale in Poojapura Trivandrum,₹80 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-2178-Sq-ft-Residential-House-FOR-Sale-Poojapura-in-Trivandrum&id=4d423735303338343639
Trivandrum,"1 BHK Flat for Sale in Kovalam, Trivandrum",₹30 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-715-Sq-ft-Multistorey-Apartment-FOR-Sale-Kovalam-in-Trivandrum&id=4d423639353836333131
Trivandrum,"1 BHK Flat for Sale in Bakery junction, Trivandrum",₹45 Lac,Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Sale-Bakery-junction-in-Trivandrum&id=4d423637373730303637
Trivandrum,1 BHK House for Sale in Sreekaryam Trivandrum,₹1.03 Cr,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-7-Cent-Residential-House-FOR-Sale-Sreekaryam-in-Trivandrum&id=4d423731363831313433
Trivandrum,1 BHK House for Sale in Balaramapuram Trivandrum,₹25 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-470-Sq-ft-Residential-House-FOR-Sale-Balaramapuram-in-Trivandrum&id=4d423734343138303433
Trivandrum,1 BHK Villa for Sale in Karamana Trivandrum,₹22 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Villa-FOR-Sale-Karamana-in-Trivandrum&id=4d423734313039393231
Trivandrum,"1 BHK Flat for Sale in Kovalam, Trivandrum",₹30 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/1-BHK-715-Sq-ft-Multistorey-Apartment-FOR-Sale-Kovalam-in-Trivandrum&id=4d423534303739353437
Trivandrum,1 BHK House for Sale in Venjaramoodu Trivandrum,₹17 Lac,Semi-Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-2500-Sq-ft-Residential-House-FOR-Sale-Venjaramoodu-in-Trivandrum&id=4d423733343235333237
Trivandrum,1 BHK House for Sale in Poojapura Trivandrum,Call for Price,N/A,https://www.magicbricks.com/propertyDetails/1-BHK-2178-Sq-ft-Residential-House-FOR-Sale-Poojapura-in-Trivandrum&id=4d423735303338353131
Trivandrum,1 BHK Flat for Sale in Trivandrum,Call for Price,N/A,https://www.magicbricks.com/propertyDetails/1-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Trivandrum&id=4d423637313534333835
Trivandrum,"2 BHK Flat for Sale in Shanoor Rainbow Heights, Pangappara Trivandrum",₹53.1 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-930-Sq-ft-Multistorey-Apartment-FOR-Sale-Pangappara-in-Trivandrum&id=4d423735363635343739
Trivandrum,"2 BHK Flat for Sale in Tech Meridien, NH Bypass Trivandrum",₹59.5 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-905-Sq-ft-Multistorey-Apartment-FOR-Sale-NH-Bypass-in-Trivandrum&id=4d423735343935343533
Trivandrum,"3 BHK Flat for Sale in Tech Meridien, NH Bypass Trivandrum",₹84.3 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1316-Sq-ft-Multistorey-Apartment-FOR-Sale-NH-Bypass-in-Trivandrum&id=4d423735343935343337
Trivandrum,"3 BHK Flat for Sale in Shanoor Rainbow Heights, Pangappara Trivandrum",₹83.7 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1519-Sq-ft-Multistorey-Apartment-FOR-Sale-Pangappara-in-Trivandrum&id=4d423735363635363037
Trivandrum,"3 BHK Flat for Sale in Shanoor Rainbow Heights, Pangappara Trivandrum",₹82.6 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1499-Sq-ft-Multistorey-Apartment-FOR-Sale-Pangappara-in-Trivandrum&id=4d423735363635353835
Trivandrum,"2 BHK Flat for Sale in Shanoor Rainbow Heights, Pangappara Trivandrum",₹62.4 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1110-Sq-ft-Multistorey-Apartment-FOR-Sale-Pangappara-in-Trivandrum&id=4d423735363635343939
Trivandrum,"3 BHK Flat for Sale in Shanoor Rainbow Heights, Pangappara Trivandrum",₹75.4 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1359-Sq-ft-Multistorey-Apartment-FOR-Sale-Pangappara-in-Trivandrum&id=4d423735363635363239
Trivandrum,"4 BHK Villa for Sale in Embassy Square, Sreekaryam Trivandrum",₹1.92 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/4-BHK-2792-Sq-ft-Villa-FOR-Sale-Sreekaryam-in-Trivandrum&id=4d423735353639303431
Trivandrum,"3 BHK Flat for Sale in Shanoor Skyvilla, Akulam Trivandrum",₹85.9 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1531-Sq-ft-Multistorey-Apartment-FOR-Sale-Akulam-in-Trivandrum&id=4d423735353731313837
Trivandrum,"3 BHK Flat for Sale in Shanoor Skyvilla, Akulam Trivandrum",₹79 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1401-Sq-ft-Multistorey-Apartment-FOR-Sale-Akulam-in-Trivandrum&id=4d423735353731313733
Trivandrum,"3 BHK Flat for Sale in Shanoor Skyvilla, Akulam Trivandrum",₹74.9 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1324-Sq-ft-Multistorey-Apartment-FOR-Sale-Akulam-in-Trivandrum&id=4d423735353731313639
Trivandrum,"2 BHK Flat for Sale in Shanoor Skyvilla, Akulam Trivandrum",₹57.9 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1003-Sq-ft-Multistorey-Apartment-FOR-Sale-Akulam-in-Trivandrum&id=4d423735353731313533
Trivandrum,"2 BHK Flat for Sale in Shanoor Skyvilla, Akulam Trivandrum",₹58.4 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1012-Sq-ft-Multistorey-Apartment-FOR-Sale-Akulam-in-Trivandrum&id=4d423735353731313439
Trivandrum,"2 BHK Flat for Sale in Shanoor Skyvilla, Akulam Trivandrum",₹55.4 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-956-Sq-ft-Multistorey-Apartment-FOR-Sale-Akulam-in-Trivandrum&id=4d423735353731313335
Trivandrum,"2 BHK Flat for Sale in Shanoor Tulips, Kazhakkottam Trivandrum",₹58.7 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1018-Sq-ft-Multistorey-Apartment-FOR-Sale-Kazhakkottam-in-Trivandrum&id=4d423735353732383139
Trivandrum,"3 BHK Flat for Sale in Shanoor Tulips, Kazhakkottam Trivandrum",₹68.3 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1199-Sq-ft-Multistorey-Apartment-FOR-Sale-Kazhakkottam-in-Trivandrum&id=4d423735353732383831
Trivandrum,"3 BHK Flat for Sale in Shanoor Tulips, Kazhakkottam Trivandrum",₹78.4 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1389-Sq-ft-Multistorey-Apartment-FOR-Sale-Kazhakkottam-in-Trivandrum&id=4d423735353732383733
Trivandrum,"3 BHK Flat for Sale in Shanoor Tulips, Kazhakkottam Trivandrum",₹81.5 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1448-Sq-ft-Multistorey-Apartment-FOR-Sale-Kazhakkottam-in-Trivandrum&id=4d423735353732383637
Trivandrum,"2 BHK Flat for Sale in Shanoor Tulips, Kazhakkottam Trivandrum",₹59.1 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1026-Sq-ft-Multistorey-Apartment-FOR-Sale-Kazhakkottam-in-Trivandrum&id=4d423735353732383537
Trivandrum,"2 BHK Flat for Sale in Shanoor Tulips, Kazhakkottam Trivandrum",₹56.1 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-969-Sq-ft-Multistorey-Apartment-FOR-Sale-Kazhakkottam-in-Trivandrum&id=4d423735353732383439
Trivandrum,"2 BHK Flat for Sale in Shanoor Tulips, Kazhakkottam Trivandrum",₹53.8 Lac,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-925-Sq-ft-Multistorey-Apartment-FOR-Sale-Kazhakkottam-in-Trivandrum&id=4d423735353732383437
Trivandrum,"4 BHK Villa for Sale in Embassy Square, Sreekaryam Trivandrum",₹2.25 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/4-BHK-3234-Sq-ft-Villa-FOR-Sale-Sreekaryam-in-Trivandrum&id=4d423735353639303433
Trivandrum,"3 BHK Villa for Sale in Embassy Square, Sreekaryam Trivandrum",₹1.80 Cr,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-2615-Sq-ft-Villa-FOR-Sale-Sreekaryam-in-Trivandrum&id=4d423735353639303339
